project_name,nb_XML_files_beans_config,nb_Java_files_beans_config,nb_total_files_beans_config,nb_XML_beans,nb_Java_beans,nb_total_beans,is_autowired,nb_Java_files,LoC_Java,stargazers_count,watchers_count,forks_count,open_issues_count,score,size,created_at,
spring-projects/spring-android,0,0,0,0,0,0,False,198,16075,690,690,266,12,58.49384,4817,2011-05-27T15:44:17Z,
spring-projects/spring-android-samples,0,1,1,0,1,1,True,89,4166,722,722,506,4,61.11534,5331,2011-05-27T17:35:18Z,
spring-projects/spring-batch,53,15,68,461,72,533,False,961,46179,1116,1116,1132,27,68.658455,88900,2010-11-17T17:53:45Z,
spring-projects/spring-batch-admin,17,2,19,106,11,117,True,114,6675,239,239,301,4,53.286358,3984,2010-11-15T17:57:12Z,
spring-projects/spring-boot,2,267,269,3,653,656,True,2468,114816,32103,32103,21977,396,107.72651,84715,2012-10-19T15:02:57Z,
spring-projects/spring-data-book,22,5,27,78,12,90,True,163,5428,855,855,805,14,62.08109,1949,2012-05-11T15:38:29Z,
spring-projects/spring-data-cassandra,0,3,3,0,14,14,False,397,20427,224,224,225,0,51.383957,8776,2011-08-10T06:16:44Z,
spring-projects/spring-data-commons,0,4,4,0,10,10,True,450,24787,381,381,364,28,55.407173,9324,2010-11-11T20:19:31Z,
spring-projects/spring-data-couchbase,2,12,14,4,39,43,False,245,14016,153,153,114,12,51.132954,2651,2013-05-31T08:53:23Z,
spring-projects/spring-data-document-examples,5,4,9,31,9,40,True,123,9362,143,143,104,5,45.7405,1585,2010-11-11T21:21:37Z,
spring-projects/spring-data-elasticsearch,0,2,2,0,5,5,False,154,10796,1504,1504,773,48,69.7121,19505,2013-04-29T14:27:38Z,
spring-projects/spring-data-envers,0,0,0,0,0,0,False,6,258,163,163,70,11,43.872208,848,2012-03-21T13:49:17Z,
spring-projects/spring-data-examples,0,11,11,2,33,35,True,6308,75424,2476,2476,1933,29,76.95363,11168,2014-01-30T15:42:43Z,
spring-projects/spring-data-jdbc,0,1,1,0,3,3,False,96,3816,187,187,73,2,48.713314,2016,2017-02-15T15:47:29Z,
spring-projects/spring-data-jpa,0,0,0,0,0,0,False,115,7438,1359,1359,758,36,63.106995,6093,2010-11-11T21:36:56Z,
spring-projects/spring-data-mongodb,0,3,3,0,13,13,False,438,37232,945,945,722,23,61.699165,16730,2011-10-13T01:06:55Z,
spring-projects/spring-data-neo4j,0,1,1,0,2,2,False,91,3731,530,530,527,0,55.767693,18292,2011-09-27T21:02:43Z,
spring-projects/spring-data-redis,0,0,0,0,0,0,False,508,51872,886,886,620,10,60.732933,12892,2011-07-01T11:57:33Z,
spring-projects/spring-data-rest,0,1,1,0,43,43,True,265,12976,607,607,413,77,57.44406,7259,2012-03-08T21:55:39Z,
spring-projects/spring-data-solr,0,1,1,0,4,4,False,215,11812,311,311,221,26,53.926456,4702,2012-09-10T11:36:42Z,
spring-projects/spring-framework,1,38,39,11,202,213,True,4087,296216,25373,25373,16165,182,105.04489,117604,2010-12-08T04:04:45Z,
spring-projects/spring-hadoop,0,17,17,0,68,68,False,717,37280,554,554,335,10,59.444077,7877,2010-12-16T16:42:11Z,
spring-projects/spring-hadoop-samples,15,2,17,83,5,88,True,49,1493,375,375,381,17,61.28789,4249,2013-08-21T17:04:52Z,
spring-projects/spring-hateoas,0,2,2,0,11,11,False,124,6668,774,774,341,222,60.157238,2894,2012-05-07T15:18:47Z,
spring-projects/spring-ide,139,1,140,497,2,499,True,3769,265349,260,260,108,94,50.26922,735879,2012-01-18T11:00:22Z,
spring-projects/spring-integration,0,3,3,0,22,22,False,1705,104820,792,792,681,15,64.732315,48227,2011-07-22T21:47:27Z,
spring-projects/spring-integration-extensions,11,0,11,33,0,33,False,236,9645,200,200,220,4,50.878136,2620,2012-06-13T16:05:52Z,
spring-projects/spring-integration-java-dsl,0,0,0,0,1,1,False,163,10309,150,150,71,0,43.8256,1260,2014-11-12T17:34:22Z,
spring-projects/spring-integration-kafka,0,0,0,0,0,0,False,23,2191,277,277,156,1,49.69352,1491,2014-11-12T17:35:29Z,
spring-projects/spring-integration-samples,58,9,67,127,87,214,True,220,7252,1478,1478,2159,16,69.36552,11642,2011-08-10T04:40:02Z,
spring-projects/spring-kafka,0,2,2,0,15,15,True,172,10750,564,564,373,23,60.173534,4057,2016-03-02T17:01:33Z,
spring-projects/spring-ldap,7,0,7,23,0,23,True,298,15262,182,182,373,82,63.946857,24076,2013-07-02T22:23:31Z,
spring-projects/spring-loaded,0,0,0,0,0,0,False,928,29502,2161,2161,417,122,64.39353,35087,2012-12-06T23:17:42Z,
spring-projects/spring-mobile,0,4,4,25,11,36,False,60,1759,150,150,111,2,48.874413,5105,2011-05-27T16:54:08Z,
spring-projects/spring-mvc-showcase,0,2,2,0,3,3,True,40,1324,4249,4249,3505,17,75.16248,665,2011-06-03T15:36:55Z,
spring-projects/spring-petclinic,0,1,1,0,1,1,True,25,731,2773,2773,5321,12,80.76671,7160,2013-01-09T09:05:18Z,
spring-projects/spring-plugin,0,0,0,0,0,0,False,20,490,203,203,62,6,46.074528,549,2012-02-20T18:06:37Z,
spring-projects/spring-restdocs,0,1,1,0,1,1,True,215,8426,797,797,462,37,62.367226,4036,2014-10-08T12:53:51Z,
spring-projects/spring-retry,0,0,0,0,0,0,False,81,3735,863,863,219,37,58.012825,567,2010-12-21T16:41:48Z,
spring-projects/spring-roo,0,1,1,10,5,15,True,956,99260,617,617,295,2,58.834755,40092,2011-08-31T21:30:19Z,
spring-projects/spring-security,21,14,35,168,68,236,True,1397,69582,3029,3029,2803,910,86.119194,33287,2012-01-10T21:50:57Z,
spring-projects/spring-security-javaconfig,1,19,20,3,67,70,True,135,7103,155,155,118,4,46.75306,3474,2013-03-04T23:00:33Z,
spring-projects/spring-security-oauth,2,20,22,19,110,129,True,447,26673,3163,3163,3056,632,73.4947,6061,2011-07-26T18:08:49Z,
spring-projects/spring-security-oauth2-boot,0,8,8,0,31,31,True,43,2380,111,111,31,1,36.364567,314,2017-12-12T22:55:29Z,
spring-projects/spring-security-saml,2,0,2,107,0,107,True,101,8547,280,280,389,105,55.059765,5623,2012-01-10T23:05:35Z,
spring-projects/spring-session,2,40,42,5,89,94,True,184,10736,1260,1260,711,173,74.11127,20154,2014-06-20T21:16:58Z,
spring-projects/spring-shell,0,7,7,0,33,33,True,114,4625,363,363,253,46,58.327694,5912,2012-02-16T02:29:58Z,
spring-projects/spring-social,1,2,3,1,8,9,False,154,6171,531,531,323,84,58.80888,9217,2011-02-28T14:12:36Z,
spring-projects/spring-social-facebook,0,1,1,0,2,2,False,214,8526,224,224,253,76,52.101025,9337,2011-05-18T21:27:43Z,
spring-projects/spring-social-samples,13,26,39,40,83,123,True,153,4259,496,496,815,57,63.064003,1011,2011-02-28T14:25:04Z,
spring-projects/spring-social-twitter,0,1,1,2,2,4,False,136,5623,105,105,109,50,45.326336,6494,2011-05-18T20:55:01Z,
spring-projects/spring-statemachine,0,20,20,0,83,83,True,417,21635,563,563,261,116,57.830456,14556,2015-02-04T17:15:36Z,
spring-projects/spring-sync,0,1,1,0,3,3,False,53,1991,105,105,40,17,41.503086,1327,2014-07-29T15:12:54Z,
spring-projects/spring-webflow,3,2,5,14,9,23,False,519,23722,221,221,172,1,54.62528,22121,2011-12-27T23:27:14Z,
spring-projects/spring-ws,0,2,2,0,9,9,False,462,25546,175,175,215,9,55.599075,20196,2013-01-30T12:50:51Z,
spring-projects/spring-xd,64,14,78,250,51,301,True,1015,56801,462,462,303,62,58.248672,28778,2013-04-10T15:31:44Z,
spring-projects/spring-xd-samples,18,5,23,31,17,48,True,71,2514,189,189,229,18,51.134747,31515,2013-08-12T02:38:43Z,
spring-projects/sts4,0,3,3,0,42,42,True,708,53644,156,156,39,25,34.427708,53399,2016-08-16T15:04:50Z,
springside/springside4,0,1,1,0,2,2,True,125,8691,5494,5494,3073,71,93.56516,4837,2012-02-23T08:39:03Z,
spring-social/spring-social-google,0,1,1,0,2,2,False,178,5284,194,194,159,24,49.166195,2042,2011-08-09T06:25:33Z,
springtestdbunit/spring-test-dbunit,0,0,0,0,0,0,False,34,1350,374,374,203,50,52.165085,3451,2010-12-12T18:24:31Z,
sqmax/springboot-project,0,0,0,0,7,7,True,74,2041,209,209,104,2,49.443794,251,2018-04-07T15:09:05Z,
sqshq/PiggyMetrics,0,6,6,0,11,11,True,72,1927,4627,4627,2540,7,83.56196,1489,2015-03-29T17:56:31Z,
steveonjava/JavaFX-Spring,0,4,4,0,16,16,True,28,979,127,127,77,4,43.38683,210,2012-08-28T00:18:10Z,
stormpath/spring-mvc-rest-exhandler,1,0,1,9,0,9,False,11,783,189,189,130,1,49.2726,35,2012-04-24T22:35:11Z,
stormpath/stormpath-sdk-java,0,19,19,0,259,259,True,1463,55301,217,217,161,155,29.060253,26808,2012-04-03T01:22:09Z,
stunstunstun/awesome-spring-boot,0,2,2,0,6,6,True,32,943,178,178,60,3,43.07575,10324,2015-07-08T09:35:46Z,
sunnykaka/mysteam,0,0,0,0,17,17,True,173,5731,158,158,104,0,22.254278,473,2016-03-31T05:41:18Z,
svlada/springboot-security-jwt,0,3,3,0,3,3,True,41,1077,529,529,325,7,55.90703,93,2016-08-03T08:54:30Z,
Swagger2Markup/spring-swagger2markup-demo,0,0,0,0,2,2,True,15,656,233,233,131,5,47.51403,365,2015-02-16T09:42:50Z,
szerhusenBC/jwt-spring-security-demo,0,1,1,0,2,2,True,20,756,1828,1828,917,20,64.9371,244,2016-03-20T19:16:17Z,
tang-jie/NettyRPC,1,1,2,14,4,18,True,186,6401,793,793,377,23,48.67142,2566,2016-07-28T14:56:15Z,
tangyanbo/springmore,1,0,1,1,0,1,False,131,8087,143,143,159,0,54.47548,7851,2015-06-10T07:08:32Z,
T-baby/MongoDB-Plugin,0,0,0,0,0,0,False,23,1528,230,230,91,23,33.675846,150,2016-02-15T07:34:38Z,
teaey/spring-boot-starter-dubbo,0,1,1,0,8,8,False,4,232,132,132,472,62,56.31469,33,2016-07-07T08:36:18Z,
technical-rex/spring-security-jwt,0,2,2,0,5,5,False,16,485,119,119,50,1,40.733067,31,2015-07-18T12:33:44Z,
theborakompanioni/thymeleaf-extras-shiro,0,0,0,0,0,0,False,29,1224,209,209,66,4,41.54474,149,2013-01-23T20:09:16Z,
ThoreauZZ/spring-cloud-example,0,3,3,0,8,8,True,120,3741,107,107,79,1,43.255524,3246,2017-01-11T02:39:43Z,
timebusker/spring-boot,0,17,17,0,46,46,True,196,5860,651,651,331,1,59.59726,12136,2017-04-13T11:54:57Z,
tkaczmarzyk/specification-arg-resolver,0,0,0,0,0,0,False,58,2031,160,160,50,15,41.08031,420,2014-03-23T09:04:58Z,
ToDou/appbarlayout-spring-behavior,0,0,0,0,0,0,False,12,2162,969,969,141,28,52.398552,83775,2016-10-13T11:06:05Z,
Treeptik/cloudunit,1,6,7,1,27,28,True,321,21116,116,116,46,1,23.56593,198951,2015-07-23T13:53:32Z,
ttrelle/spring-data-examples,2,0,2,2,0,2,True,30,1023,158,158,143,0,47.736385,263,2011-12-23T10:11:17Z,
